colonna1,colonna2,colonna3
0.22139409216637262,0.6833684409401722,0.20595860915394504
0.474113096108122,0.5210486056581832,0.613105664076948
0.0434655750278341,0.004649114877449234,0.7080183437390926
0.9205058342779072,0.3210900264094029,0.7993779313345827
0.0028639834231873884,0.3438606497617711,0.40332483922125273
0.6498388258239076,0.11069924994384006,0.9137964298856859
0.30231676583780387,0.012141884212099163,0.3528067603727242
0.807948518148455,0.6129402042915206,0.3654128057159698
0.6793427575289059,0.9195789688046179,0.49195422617961804
0.804491260493466,0.10095493612443929,0.45497244970230744
0.6796561621507087,0.22759507737329687,0.7709365688921468
0.13867224767553277,0.07817347834865396,0.8490754494508674
0.5076484487666386,0.8087759848936285,0.07851687056440271
0.586680365109019,0.12047038392589371,0.895375384330271
0.6617838767712867,0.4703350726154568,0.03468273237782238
0.0886959470109745,0.31222519569286955,0.7635100451806485
0.9716212712463448,0.8829764058243521,0.5402068665442705
0.6914650943848694,0.9833949337196709,0.9156590427352049
0.08928476963931242,0.2996275415377999,0.44988835283498496
0.9510362613447011,0.4257201796937935,0.5896744036272372
0.8493489724535807,0.13587692033506527,0.26974686635101663
0.4210821353619091,0.8964166142539349,0.19375151452083128
0.9324176882555091,0.15582508077788793,0.10551081894124437
0.03317193864139811,0.16673655537992293,0.5456212620842738
0.7727407720086393,0.9262549627561633,0.04218133157935611
0.736740918393077,0.30745077948556887,0.3793981771756356
0.10129703767593701,0.2961156486945702,0.9220566445674847
0.9645449503896282,0.1378866847085457,0.43236718797153695
0.3786806657855373,0.7322512524409419,0.5911799329380677
0.15298862429928728,0.3333442023419635,0.21741203972724443
0.3864617042131038,0.5059202118906198,0.13961262880454572
0.9991304895910502,0.5275099555680068,0.6285817787396584
0.8624455238028398,0.17598368531315856,0.29180487559801704
0.5099226526218383,0.59473332549449,0.23104859977307268
0.26300358716505234,0.6822204085249108,0.5986252932963018
0.19128670216040577,0.8766662379285478,0.9573814903429618
0.9056297672107861,0.26299573092171813,0.5142381383362395
0.39180734081849844,0.38520466068150083,0.7990213020785234
0.7419060579758965,0.46871175911823404,0.3829852673546046
0.015960068800072835,0.8476020219481003,0.43780029735011416
0.483659052273096,0.48013552845469565,0.5157930412701336
0.17649882935455652,0.4397422020634766,0.8661438324716949
0.308552216033405,0.7150946572850759,0.09052179144736394
0.47846264675074623,0.4808161021796299,0.7491309324634009
0.633959090179844,0.5593522560283474,0.4482812349301991
0.3964910328987986,0.5679276048778459,0.33193444744342104
0.7131806864904856,0.7065791996735438,0.25963226941736706
0.37754952621872284,0.8027106075089587,0.49803515774690854
0.34506677220496473,0.02664603118193276,0.28068541285718085
0.9565113566178984,0.0576714140930531,0.21922622226186417
