[0.39822778 0.28617356 0.87731235 0.20105416]
[0.49864816 0.48787431 0.86855941 0.70689192]
[0.83831381 0.24198463 0.876092   0.91030989]
[0.35383003 0.61014433 0.24579123 0.02620351]
[0.31209712 0.59798623 0.65670106 0.27579354]
[0.91980098 0.25810056 0.70889028 0.28530771]
[0.04782652 0.5473784  0.37582931 0.00598054]
[0.47044632 0.69752503 0.02914679 0.08919501]
[0.84153497 0.58432777 0.0456738  0.5028369 ]
[0.81861774 0.86921252 0.05798923 0.64933785]
[0.53697742 0.3471229  0.58650667 0.56818768]
[0.55190288 0.94873337 0.08404855 0.23058732]
[0.37451888 0.81757199 0.04850254 0.93304611]
[0.44905197 0.67702541 0.81197749 0.17244355]
[0.36770535 0.02663677 0.27143405 0.32036345]
[0.66839638 0.18156365 0.11008413 0.95193255]
[0.09067437 0.11113455 0.79729258 0.48556433]
[0.91314161 0.6060393  0.37658303 0.08571983]
[0.53401712 0.80253148 0.01452551 0.88350338]
[0.48788411 0.58471292 0.83044451 0.7040435 ]
